ID WHO city,iso3,country,city,pm10,Year,type_of_stations,pm10_type,pm25,pm25_type,reference,latitude,longitude,population,wbinc16_text,region,date_compiled,population_source,tempcov_PM10,tempcov_PM25,latitude_pop,longitude_pop,Region,region_abbr,tempcov_PM10_grad,tempcov_PM25_grad,conc_pm25,color_pm25,conc_pm10,color_pm10
NA,DEU,Germany,Kleinwallstadt,16.33479694,2016,1 Rural-Near_city-Background,Converted,11.42653912,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],49.869422,9.171544,5735,High income,Eur_HI,2018,1 old database,NA,0.984858834,NA,NA,Europe (HIC),Eur (HIC),NA,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Klingenthal,13.63014108,2016,1 Urban-Background,Measured,9.534574619,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.354783,12.468739,9386,High income,Eur_HI,2018,1 manual,0.992486339,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,DEU,Germany,Klotze,13.40252589,2016,1 Rural-Regional-Background,Measured,9.375352935,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],52.593136,11.172327,10558,High income,Eur_HI,2018,1 manual,0.957650273,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,DEU,Germany,Koblenz,17.85744757,2016,2 Urban-Traffic,Measured,11.88679536,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.3570025,7.594549,107646,High income,Eur_HI,2018,2 old database,0.984289618,0.981102004,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Koln,19.87700323,2016,"1 Suburban-Background, 1 Urban-Background, 2 Urban-Traffic",Measured,14.94331634,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.95484575,6.95802275,983915,High income,Eur_HI,2018,4 old database,0.989725637,0.989981785,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Konstanz,16.45436439,2016,"1 N.A., 2 Urban-Background",Measured,11.5101791,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],47.665934,9.173302667,82508,High income,Eur_HI,2018,3 old database,0.999734366,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Krefeld,18.93313414,2016,"2 Suburban-Industrial, 1 Urban-Background",Measured,14.86099952,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.34093033,6.660210667,237629,High income,Eur_HI,2018,3 old database,0.987591075,0.974726776,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Kuchen,21.5289162,2016,1 N.A.,Measured,15.05993641,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.63667,9.79804,5539,High income,Eur_HI,2018,1 manual,1,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,15-<25,orange,20-<30,yellow
NA,DEU,Germany,Kulmbach,16.5184646,2016,1 Urban-Background,Measured,11.55501857,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.103135,11.442591,26678,High income,Eur_HI,2018,1 old database,0.998747723,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Landshut,17.75463548,2016,1 Urban-Traffic,Measured,12.41974649,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.539801,12.157051,60789,High income,Eur_HI,2018,1 old database,0.993169399,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
