Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mali,MLI,CO2 emissions (kt),EN.ATM.CO2E.KT,121.011,117.344,139.346,176.016,176.016,198.018,190.684,223.687,198.018,161.348,201.685,227.354,245.689,267.691,304.361,341.031,341.031,414.371,396.036,429.039,392.369,396.036,366.7,418.038,436.373,407.037,381.368,359.366,385.035,418.038,420,430,450,460,470,470,490,530,770,800,1410,1610,1400,1400,1480,1650,1890,2070,2090,2510,2780,3120,3110,3050,3120,3410,4420,5050,5620,,
Mozambique,MOZ,CO2 emissions (kt),EN.ATM.CO2E.KT,1884.838,2632.906,1987.514,1661.151,2141.528,2005.849,2126.86,1873.837,2779.586,3241.628,2984.938,3615.662,3300.3,3564.324,3149.953,2885.929,2559.566,2713.58,2874.928,2643.907,3208.625,2489.893,2541.231,1976.513,1536.473,1147.771,982.756,982.756,1012.092,1041.428,1120,940,1100,1290,1100,1170,1160,1290,1240,1230,1430,1410,1570,1910,1910,1710,1860,2230,2240,2510,2720,3200,3070,3460,4470,5640,5790,6020,6640,,
Mauritania,MRT,CO2 emissions (kt),EN.ATM.CO2E.KT,36.67,47.671,62.339,88.008,117.344,161.348,179.683,198.018,234.688,275.025,429.039,399.703,447.374,469.376,484.044,509.713,517.047,557.384,583.053,605.055,630.724,663.727,883.747,938.752,872.746,656.393,374.034,3285.632,3230.627,2849.259,840,860,890,910,950,1000,1060,1050,990,1110,1120,1180,1270,1300,1410,1450,1460,1720,1800,1990,2070,2190,2400,2200,2520,2950,2810,3800,4000,,
Mauritius,MUS,CO2 emissions (kt),EN.ATM.CO2E.KT,179.683,187.017,253.023,209.019,308.028,304.361,275.025,498.712,638.058,572.052,498.712,396.036,689.396,678.395,693.063,590.387,619.723,641.725,630.724,660.06,590.387,542.716,502.379,597.721,627.057,707.731,799.406,931.418,854.411,1052.429,1160,1250,1320,1470,1510,1550,1610,1620,1790,2200,2430,2570,2610,2750,2770,2960,3300,3400,3470,3420,3660,3640,3730,3820,3950,3960,4040,4180,4130,,
Malawi,MWI,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,330.03,348.365,429.039,366.7,388.702,381.368,454.708,502.379,546.383,572.052,550.05,579.386,583.053,638.058,671.061,638.058,711.398,605.055,594.054,575.719,557.384,557.384,553.717,546.383,542.716,564.718,720,790,790,880,910,910,910,950,920,960,880,880,860,880,910,910,930,980,1100,1120,1040,1140,1120,1210,1100,1200,1360,1500,1570,,
Namibia,NAM,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,1220,1420,1640,1770,1920,1970,2020,1980,1940,2460,2130,2270,2380,2530,2540,2620,2960,3030,3130,3320,3540,3820,4000,4270,4360,4330,4250,,
Niger,NER,CO2 emissions (kt),EN.ATM.CO2E.KT,29.336,55.005,66.006,88.008,95.342,91.675,135.679,132.012,161.348,190.684,216.353,231.021,253.023,330.03,289.693,333.697,333.697,366.7,418.038,480.377,572.052,685.729,748.068,964.421,993.757,997.424,902.082,1001.091,990.09,1041.428,600,570,530,600,580,560,640,650,700,680,670,660,700,760,790,760,750,820,860,1080,1370,1410,1890,1790,1980,1970,1970,2070,2290,,
Nigeria,NGA,CO2 emissions (kt),EN.ATM.CO2E.KT,3406.643,4114.374,4180.38,5350.153,7275.328,11763.736,12907.84,12838.167,6633.603,12112.101,21539.958,32280.601,41426.099,49577.84,62291.329,47395.975,55247.022,50567.93,48294.39,70289.056,68154.862,65958.329,65602.63,59929.781,69625.329,69893.02,73505.015,59343.061,70747.431,42441.858,67850,75570,86400,84410,80530,81540,87180,83540,76640,74660,76070,85150,86110,88680,88630,98440,92200,90130,91530,74240,90730,102090,100680,110720,116200,108150,108420,112920,130670,,
Papua New Guinea,PNG,CO2 emissions (kt),EN.ATM.CO2E.KT,179.683,201.685,198.018,256.69,267.691,304.361,341.031,436.373,502.379,557.384,693.063,825.075,1268.782,1345.789,1587.811,1532.806,1573.143,1580.477,1675.819,1796.83,1829.833,1932.509,1947.177,2009.516,2046.186,2126.86,2064.521,2335.879,2200.2,2035.185,2170,2180,2180,2210,2050,2130,2230,2400,2650,2600,2820,3380,3610,4070,4910,4880,4740,5040,4740,5010,5020,5150,4900,5230,5870,6430,7630,7700,7460,,
Rwanda,RWA,CO2 emissions (kt),EN.ATM.CO2E.KT,106.343,139.346,84.341,84.341,36.67,47.671,44.004,40.337,55.005,58.672,58.672,62.339,66.006,69.673,73.34,176.016,267.691,267.691,289.693,297.027,495.045,601.388,608.722,696.73,634.391,616.056,597.721,616.056,696.73,689.396,520,470,480,480,460,450,460,480,480,500,520,520,520,510,520,510,510,540,530,560,570,650,720,780,810,930,1050,1050,1080,,
Sudan,SDN,CO2 emissions (kt),EN.ATM.CO2E.KT,1360.457,1386.126,1485.135,1679.486,1859.169,2427.554,2643.907,3186.623,3105.949,4184.047,4855.108,4983.453,5379.489,5427.16,5683.85,4239.052,3755.008,3806.346,3439.646,3571.658,3747.674,3641.331,3828.348,3909.022,3505.652,4074.037,4250.053,3351.638,4847.774,3758.675,5370,4800,4530,3190,4660,4470,4260,5190,4710,5180,5550,6090,7540,7750,8510,10060,12440,13420,14510,14980,15870,15350,15210,14500,15330,17800,20480,20340,20200,,
Senegal,SEN,CO2 emissions (kt),EN.ATM.CO2E.KT,828.742,814.074,814.074,861.745,924.084,1694.154,1719.823,700.397,-80.674,491.378,1309.119,1353.123,1455.799,1551.141,1851.835,2581.568,1774.828,2244.204,2629.239,2900.597,3351.638,3296.633,3054.611,2632.906,3307.634,2676.91,2662.242,2453.223,2742.916,3696.336,2330,2330,2570,2500,2610,2760,2930,3210,3600,3960,4060,4450,4580,4490,5390,5670,5570,6200,6400,6650,7030,7570,7460,8010,8570,9280,9920,9570,9860,,
Sierra Leone,SLE,CO2 emissions (kt),EN.ATM.CO2E.KT,715.065,289.693,326.363,370.367,304.361,282.359,300.694,253.023,385.035,1107.434,872.746,803.073,678.395,539.049,520.714,524.381,451.041,513.38,711.398,678.395,608.722,693.063,553.717,689.396,616.056,663.727,674.728,498.712,458.375,374.034,340,360,460,460,480,250,300,230,260,150,400,430,530,580,570,480,630,540,550,550,590,770,890,1070,1180,940,960,970,1020,,
Somalia,SOM,CO2 emissions (kt),EN.ATM.CO2E.KT,84.341,88.008,106.343,102.676,135.679,132.012,139.346,227.354,154.014,161.348,216.353,187.017,234.688,264.024,330.03,502.379,480.377,799.406,557.384,487.711,814.074,275.025,718.732,935.085,715.065,858.078,924.084,993.757,1008.425,957.087,730,700,680,640,630,590,570,550,520,500,490,510,570,580,580,580,580,620,620,610,630,630,630,650,650,650,660,660,690,,
Sub-Saharan Africa (excluding high income),SSA,CO2 emissions (kt),EN.ATM.CO2E.KT,126340.879,132144.4958,136778.8652,143395.4198,157400.0012,174708.1822,178263.0737,185331.8243,189405.2152,205609.2536,226696.1388,260928.289,275095.632,292316.6171,310261.2043,301257.2065,316866.8713,319488.9966,324867.5239,366340.3706,379182.4437,404866.5899,427253.4975,434056.8497,465753.6075,477484.1681,483526.619,476010.8544,506749.026,482254.7204,399090.9978,403327.6972,411110.2389,420832.9521,423993.0863,443892.8452,462298.3553,477190.3615,482167.8253,469042.6672,476503.8148,525551.5208,541321.903,570217.4432,605877.488,622152.684,627826.7908,651482.3641,689020.3161,659195.9185,707627.7517,712958.5851,739198.805,770638.2078,798329.0664,777470.2318,785390.5429,801150.5513,822805.4476,,
South Sudan,SSD,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1450,1530,1970,1730,1520,1380,,
Sub-Saharan Africa,SSF,CO2 emissions (kt),EN.ATM.CO2E.KT,126346.1,132149.9567,136784.5176,143401.3456,157405.7369,174713.7282,178268.5808,185337.254,189410.6002,205614.4611,226723.4962,260959.0015,275137.3798,292361.9063,310313.7568,301313.5874,316945.4606,319571.2871,324942.2958,366459.447,379275.2705,404962.8655,427334.6086,434152.8058,465849.2168,477631.8671,483689.1713,476210.7877,506944.893,482488.1541,399239.2018,403506.2671,411288.744,421021.4772,424201.779,444091.2855,462537.0359,477539.9834,482608.2739,469563.9884,477085.6546,526193.5528,541862.8493,570768.259,606629.9479,622854.5351,628568.9822,652133.5041,689721.6425,659705.6512,708066.4309,713356.8377,739647.3326,771046.2194,798787.277,777968.888,785929.453,801739.7397,823424.7218,,
Small states,SST,CO2 emissions (kt),EN.ATM.CO2E.KT,15506.16759,21523.57006,26317.17579,26322.76924,35145.48161,36937.08073,36652.43414,42819.77687,46257.86114,46843.89824,72026.74928,82022.09315,90749.98495,109181.1351,100835.7959,103373.984,108846.429,118530.5926,125018.3128,128895.3253,127746.1677,110486.4889,111077.8031,100886.0018,105159.0833,112996.7848,108299.7423,110397.234,113526.7362,125341.8621,116102.9461,113585.4735,110388.6159,108974.0296,111121.3513,111813.3791,116128.3762,120077.0056,124127.4038,126712.3312,126101.7185,131627.7642,137856.0147,145184.3482,151963.8189,170218.5857,182160.4018,191450.7128,195518.3625,202227.4737,203723.967,209810.3762,220175.3503,224574.4381,230018.0582,228390.9983,228009.3423,231343.8107,237761.658,,
Sao Tome and Principe,STP,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,11.001,11.001,7.334,11.001,11.001,11.001,11.001,14.668,14.668,14.668,11.001,11.001,14.668,18.335,18.335,29.336,29.336,33.003,33.003,40.337,44.004,47.671,55.005,51.338,55.005,51.338,51.338,47.671,47.671,50,50,40,50,50,50,50,50,50,50,50,50,60,70,70,80,80,80,90,90,100,100,120,120,120,120,120,130,140,,
Eswatini,SWZ,CO2 emissions (kt),EN.ATM.CO2E.KT,33.003,3.667,,,11.001,80.674,201.685,227.354,278.692,304.361,366.7,399.703,381.368,370.367,311.695,337.364,333.697,341.031,440.04,447.374,465.709,436.373,436.373,271.358,333.697,440.04,458.375,436.373,436.373,436.373,950,940,830,730,1040,1000,780,1110,1140,1220,1130,1080,1070,1000,990,1010,1010,1040,1020,1070,1010,1020,1060,1550,960,1030,1230,1040,1090,,
Seychelles,SYC,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,7.334,7.334,7.334,7.334,7.334,7.334,7.334,29.336,33.003,44.004,47.671,55.005,58.672,80.674,84.341,77.007,121.011,95.342,99.009,84.341,99.009,99.009,150.347,165.015,201.685,198.018,234.688,150,180,180,190,210,200,240,350,440,520,580,640,540,550,750,700,740,650,700,510,440,400,450,410,460,500,540,590,620,,
Chad,TCD,CO2 emissions (kt),EN.ATM.CO2E.KT,55.005,51.338,84.341,91.675,99.009,106.343,84.341,117.344,124.678,161.348,124.678,150.347,121.011,161.348,150.347,183.35,183.35,198.018,194.351,201.685,209.019,209.019,205.352,205.352,216.353,179.683,187.017,198.018,66.006,102.676,390,400,410,410,420,440,450,460,470,490,510,520,530,760,770,800,820,880,950,970,1030,820,890,920,940,970,1020,1020,1070,,
